operation,distribution,dataStructure,runs,height,min,max,mean,median,std,speedup
TreeSort,RANDOM,BST,20,46,39730300.000,53412700.000,43213445.000,41967100.000,3790500.038,1.000000
TreeSort,RANDOM,RBBST,20,19,44751500.000,60958600.000,48867600.000,48796450.000,3271878.580,0.884296
QuickSort,RANDOM,QuickSort,20,0,9382400.000,9783200.000,9562910.000,9551350.000,113258.841,4.518859
QuickSort,RANDOM,QuickSortBoxed,20,0,21037600.000,27731600.000,24648515.000,23604150.000,2333543.688,1.753187
TreeSort,RANDOM,BST,20,40,39009600.000,46413200.000,41008115.000,40924500.000,1642286.342,1.000000
TreeSort,RANDOM,RBBST,20,19,44714700.000,54052700.000,48952630.000,48896800.000,1911484.387,0.837710
QuickSort,RANDOM,QuickSort,20,0,9432100.000,10038000.000,9628025.000,9602350.000,140518.633,4.259245
QuickSort,RANDOM,QuickSortBoxed,20,0,21680500.000,28357400.000,25129290.000,25128150.000,2543847.881,1.631885
TreeSort,RANDOM,BST,20,38,38932600.000,43328200.000,40738455.000,40732050.000,1186506.986,1.000000
TreeSort,RANDOM,RBBST,20,19,46752300.000,57331000.000,49583725.000,49169800.000,2852634.118,0.821609
QuickSort,RANDOM,QuickSort,20,0,9357200.000,11948600.000,9831785.000,9619500.000,675656.087,4.143546
QuickSort,RANDOM,QuickSortBoxed,20,0,21528300.000,28921900.000,25215170.000,25447150.000,2497382.266,1.615633
TreeSort,RANDOM,BST,20,39,38866700.000,43792800.000,40624935.000,40600950.000,1366872.361,1.000000
TreeSort,RANDOM,RBBST,20,19,46054400.000,54205600.000,47918640.000,47235200.000,1912354.371,0.847790
QuickSort,RANDOM,QuickSort,20,0,9389400.000,9871500.000,9580485.000,9538400.000,129356.697,4.240384
QuickSort,RANDOM,QuickSortBoxed,20,0,22448500.000,27985000.000,25082645.000,24979950.000,2297776.819,1.619643
TreeSort,RANDOM,BST,20,38,38435600.000,42598800.000,39828265.000,39459100.000,1228849.611,1.000000
TreeSort,RANDOM,RBBST,20,19,46278000.000,51976900.000,48512765.000,48825300.000,1504802.569,0.820985
QuickSort,RANDOM,QuickSort,20,0,9789100.000,10234600.000,9951050.000,9928800.000,132944.165,4.002418
QuickSort,RANDOM,QuickSortBoxed,20,0,22366100.000,29011000.000,25434325.000,25311550.000,2623855.686,1.565926
TreeSort,RANDOM,BST,20,39,37626800.000,42485100.000,39818320.000,39919250.000,1173502.809,1.000000
TreeSort,RANDOM,RBBST,20,19,46411500.000,55079100.000,49065070.000,48775050.000,2218128.508,0.811541
QuickSort,RANDOM,QuickSort,20,0,9719400.000,10261400.000,9925055.000,9945550.000,130428.397,4.011899
QuickSort,RANDOM,QuickSortBoxed,20,0,21540800.000,28355100.000,25397595.000,25639400.000,2625437.184,1.567799
TreeSort,RANDOM,BST,20,39,38763900.000,44191000.000,40923980.000,41053000.000,1108865.079,1.000000
TreeSort,RANDOM,RBBST,20,19,45025900.000,50355700.000,47415825.000,47021250.000,1245873.110,0.863087
QuickSort,RANDOM,QuickSort,20,0,9773200.000,10315300.000,9957595.000,9915950.000,143381.044,4.109826
QuickSort,RANDOM,QuickSortBoxed,20,0,21802000.000,28936200.000,24635355.000,23198450.000,2484469.196,1.661189
TreeSort,RANDOM,BST,20,38,38590600.000,46116000.000,40805460.000,40823100.000,1660344.274,1.000000
TreeSort,RANDOM,RBBST,20,20,46558600.000,57635800.000,49043500.000,48215450.000,3116063.201,0.832026
QuickSort,RANDOM,QuickSort,20,0,9746200.000,10458200.000,9964410.000,9934000.000,163399.681,4.095121
QuickSort,RANDOM,QuickSortBoxed,20,0,21012200.000,27464800.000,24552075.000,24774150.000,2447977.134,1.661996
TreeSort,RANDOM,BST,20,38,38326000.000,44608300.000,40338585.000,39892100.000,1516081.800,1.000000
TreeSort,RANDOM,RBBST,20,20,46481300.000,54219400.000,48962930.000,48820950.000,1697573.145,0.823860
QuickSort,RANDOM,QuickSort,20,0,9733600.000,10251700.000,9926770.000,9927800.000,112814.613,4.063616
QuickSort,RANDOM,QuickSortBoxed,20,0,21455500.000,28335200.000,25066095.000,25364850.000,2406981.773,1.609289
TreeSort,RANDOM,BST,20,39,39643400.000,43472700.000,40856320.000,40779900.000,1032145.942,1.000000
TreeSort,RANDOM,RBBST,20,19,46688300.000,51436900.000,48718675.000,48813100.000,1213316.193,0.838617
QuickSort,RANDOM,QuickSort,20,0,9717000.000,10271400.000,9947790.000,9949750.000,133934.453,4.107075
QuickSort,RANDOM,QuickSortBoxed,20,0,21250300.000,28200300.000,25226740.000,25281500.000,2508782.351,1.619564
TreeSort,RANDOM,BST,20,38,38726900.000,52698700.000,40583335.000,39425650.000,3296664.491,1.000000
TreeSort,RANDOM,RBBST,20,19,46486300.000,57790400.000,49293800.000,48742450.000,2989005.857,0.823295
QuickSort,RANDOM,QuickSort,20,0,9419000.000,10051800.000,9617985.000,9566300.000,160922.493,4.219526
QuickSort,RANDOM,QuickSortBoxed,20,0,20622000.000,27795400.000,24311075.000,24366650.000,2411093.232,1.669335
TreeSort,RANDOM,BST,20,39,39461000.000,49761400.000,41522630.000,40848100.000,2213303.525,1.000000
TreeSort,RANDOM,RBBST,20,19,46253600.000,54288900.000,47876605.000,46803600.000,2025671.313,0.867284
QuickSort,RANDOM,QuickSort,20,0,9369900.000,9969100.000,9630195.000,9628350.000,155805.076,4.311712
QuickSort,RANDOM,QuickSortBoxed,20,0,21058300.000,32040900.000,25122295.000,24564500.000,2891487.489,1.652820
TreeSort,RANDOM,BST,20,39,38633300.000,43771500.000,40735600.000,40780000.000,1295873.156,1.000000
TreeSort,RANDOM,RBBST,20,20,45974200.000,50278800.000,48051815.000,48478500.000,1229037.629,0.847743
QuickSort,RANDOM,QuickSort,20,0,9409100.000,10494100.000,9755550.000,9759700.000,256883.749,4.175633
QuickSort,RANDOM,QuickSortBoxed,20,0,21751100.000,27567000.000,24589850.000,24414500.000,2221532.911,1.656602
TreeSort,RANDOM,BST,20,40,38347500.000,52599700.000,40097595.000,39303950.000,3075646.805,1.000000
TreeSort,RANDOM,RBBST,20,19,46426800.000,54735000.000,48080710.000,47433100.000,1983775.482,0.833964
QuickSort,RANDOM,QuickSort,20,0,9443600.000,9858500.000,9633600.000,9633600.000,115332.604,4.162265
QuickSort,RANDOM,QuickSortBoxed,20,0,21268500.000,27480000.000,24600935.000,24824650.000,2306414.562,1.629922
TreeSort,RANDOM,BST,20,40,38660200.000,42438200.000,40540505.000,40913700.000,1116880.109,1.000000
TreeSort,RANDOM,RBBST,20,19,46309300.000,53524800.000,48030930.000,47599950.000,1850061.539,0.844050
QuickSort,RANDOM,QuickSort,20,0,9436000.000,10256200.000,9651850.000,9595900.000,220410.632,4.200283
QuickSort,RANDOM,QuickSortBoxed,20,0,22148000.000,28563900.000,25365235.000,24978600.000,2477569.328,1.598270
TreeSort,RANDOM,BST,20,38,38958200.000,56111200.000,41865340.000,41377550.000,3789902.864,1.000000
TreeSort,RANDOM,RBBST,20,19,46363700.000,63382700.000,50119845.000,48734700.000,4542846.037,0.835305
QuickSort,RANDOM,QuickSort,20,0,9542100.000,10159000.000,9917040.000,9930300.000,138975.066,4.221556
QuickSort,RANDOM,QuickSortBoxed,20,0,21533900.000,28606100.000,24995630.000,25016550.000,2475828.264,1.674906
TreeSort,RANDOM,BST,20,38,38473200.000,46272200.000,40531510.000,39970700.000,1797686.814,1.000000
TreeSort,RANDOM,RBBST,20,19,46039100.000,50373000.000,48042730.000,47451000.000,1234503.674,0.843655
QuickSort,RANDOM,QuickSort,20,0,9379000.000,9742400.000,9572285.000,9577650.000,89328.361,4.234257
QuickSort,RANDOM,QuickSortBoxed,20,0,20334600.000,27846600.000,24194305.000,23216550.000,2515296.792,1.675250
TreeSort,RANDOM,BST,20,39,38337900.000,42680700.000,40106115.000,39949700.000,1185725.306,1.000000
TreeSort,RANDOM,RBBST,20,19,44776500.000,51436300.000,47042390.000,46735400.000,1346692.349,0.852553
QuickSort,RANDOM,QuickSort,20,0,9337900.000,9716400.000,9557690.000,9554200.000,91162.376,4.196214
QuickSort,RANDOM,QuickSortBoxed,20,0,21558800.000,29562400.000,25471375.000,25375950.000,2661670.618,1.574556
TreeSort,RANDOM,BST,20,43,38485900.000,49671500.000,40724935.000,40706750.000,2425221.229,1.000000
TreeSort,RANDOM,RBBST,20,20,44562600.000,49046500.000,46933400.000,46823650.000,943942.595,0.867718
QuickSort,RANDOM,QuickSort,20,0,9396100.000,10366600.000,9586815.000,9515000.000,228621.317,4.248015
QuickSort,RANDOM,QuickSortBoxed,20,0,21539000.000,28145700.000,24726105.000,24795750.000,2366369.506,1.647042
TreeSort,RANDOM,BST,20,39,39992800.000,45716200.000,41350400.000,41119850.000,1159262.523,1.000000
TreeSort,RANDOM,RBBST,20,20,46253900.000,50457100.000,48192290.000,48740950.000,1119626.573,0.858029
QuickSort,RANDOM,QuickSort,20,0,9726200.000,10253000.000,9931955.000,9935700.000,113480.698,4.163370
QuickSort,RANDOM,QuickSortBoxed,20,0,21830500.000,28566700.000,24788780.000,24864450.000,2303483.245,1.668110
TreeSort,NEARLY_SORTED_10,BST,20,745,21457100.000,23549200.000,22345225.000,22288100.000,513689.202,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26303400.000,29875100.000,26963590.000,26664700.000,837928.210,0.828718
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6794700.000,7127100.000,6913310.000,6897800.000,85903.299,3.232204
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14090400.000,16449100.000,15300210.000,15540300.000,744182.433,1.460452
TreeSort,NEARLY_SORTED_10,BST,20,1039,27937000.000,36435400.000,28944565.000,28509400.000,1818664.445,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,27205700.000,30322300.000,27934750.000,27712450.000,691180.302,1.036149
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6975600.000,7382000.000,7195110.000,7217300.000,124165.967,4.022811
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14868900.000,17066700.000,15806210.000,15671800.000,632819.944,1.831215
TreeSort,NEARLY_SORTED_10,BST,20,1183,28833800.000,34515600.000,29979550.000,29854600.000,1159051.429,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26015600.000,30111900.000,26955325.000,26683400.000,932969.435,1.112194
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6994100.000,7368600.000,7205905.000,7204300.000,101167.659,4.160414
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14611100.000,16613500.000,15790660.000,15938950.000,594218.757,1.898562
TreeSort,NEARLY_SORTED_10,BST,20,830,27604500.000,39469400.000,29314465.000,28882450.000,2477013.623,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26201900.000,28651200.000,27173985.000,27090150.000,694237.994,1.078769
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6781600.000,7212800.000,6957530.000,6918350.000,112223.143,4.213344
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14204900.000,16223500.000,15471370.000,15683300.000,622394.044,1.894756
TreeSort,NEARLY_SORTED_10,BST,20,1546,28295300.000,35995000.000,29483770.000,29379000.000,1639966.060,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26043000.000,29250400.000,27327995.000,26985600.000,784050.904,1.078885
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6787600.000,7570600.000,7111805.000,7123100.000,230196.341,4.145751
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14046000.000,16249400.000,15118780.000,15133550.000,559805.315,1.950142
TreeSort,NEARLY_SORTED_10,BST,20,1143,27084300.000,38113100.000,28021205.000,27316900.000,2421322.648,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26255800.000,38735900.000,27962805.000,27423950.000,2603687.727,1.002088
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6815100.000,7874600.000,7024060.000,6974150.000,239260.097,3.989317
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14012500.000,16780800.000,15218115.000,15207650.000,592639.242,1.841306
TreeSort,NEARLY_SORTED_10,BST,20,1060,22928600.000,31029400.000,23826260.000,23265550.000,1766989.328,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26444100.000,29487300.000,27010025.000,26788950.000,678108.636,0.882127
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6732400.000,7219000.000,6985330.000,6970150.000,126413.961,3.410900
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14320500.000,16287900.000,15309175.000,15297250.000,637421.624,1.556339
TreeSort,NEARLY_SORTED_10,BST,20,962,29815600.000,37982100.000,30529910.000,30126100.000,1769163.092,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,27247100.000,38099300.000,28148000.000,27571650.000,2366312.516,1.084621
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,7033100.000,7591200.000,7185470.000,7177750.000,115920.050,4.248840
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14511800.000,16366700.000,15386030.000,15315300.000,561078.816,1.984262
TreeSort,NEARLY_SORTED_10,BST,20,913,25107200.000,34266000.000,25990240.000,25443450.000,1987883.477,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26878000.000,29313200.000,27574880.000,27512550.000,536813.583,0.942533
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,7024200.000,7336800.000,7140245.000,7138200.000,83701.540,3.639965
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14565900.000,16655400.000,15705515.000,15554350.000,553822.554,1.654848
TreeSort,NEARLY_SORTED_10,BST,20,1044,31737800.000,42607900.000,33438225.000,32992650.000,2230846.607,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26157700.000,38749400.000,27929115.000,27609850.000,2619361.826,1.197253
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,7014800.000,7655100.000,7183245.000,7153100.000,155596.274,4.655031
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14332100.000,17529700.000,15488245.000,15569350.000,781883.417,2.158942
TreeSort,NEARLY_SORTED_10,BST,20,1596,28351400.000,34539500.000,29099065.000,28633550.000,1340287.413,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26746200.000,28680500.000,27830545.000,27827400.000,636884.961,1.045580
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6814800.000,7931200.000,6996875.000,6926650.000,240675.615,4.158866
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14206000.000,16100700.000,15292885.000,15411050.000,583795.088,1.902785
TreeSort,NEARLY_SORTED_10,BST,20,988,38756900.000,49725500.000,40038650.000,39296850.000,2382077.475,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26438300.000,39063900.000,27485340.000,26829900.000,2754864.798,1.456727
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6777700.000,7530900.000,6977860.000,6923050.000,175076.003,5.737955
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14765800.000,16805700.000,15736435.000,15884050.000,582782.468,2.544328
TreeSort,NEARLY_SORTED_10,BST,20,1221,23577800.000,32458700.000,24619810.000,24103850.000,1908469.503,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26196200.000,30093500.000,27021750.000,26612950.000,895933.596,0.911111
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,7011500.000,7363300.000,7192690.000,7192800.000,79343.748,3.422893
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14525200.000,16758300.000,15768160.000,15747800.000,600275.546,1.561362
TreeSort,NEARLY_SORTED_10,BST,20,660,29053600.000,38917000.000,29790775.000,29245200.000,2162280.977,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26613900.000,38655400.000,27941535.000,27406100.000,2573852.033,1.066182
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6701600.000,7157900.000,6931430.000,6933350.000,98767.452,4.297926
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,13883600.000,16663400.000,15402760.000,15333100.000,727185.277,1.934119
TreeSort,NEARLY_SORTED_10,BST,20,1676,27549500.000,35580400.000,28864775.000,28716800.000,1678298.388,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26092800.000,29525800.000,27408835.000,27464450.000,940538.562,1.053119
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6935300.000,7413200.000,7208160.000,7199700.000,114630.874,4.004458
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14289100.000,17325300.000,15702985.000,15586350.000,776983.015,1.838171
TreeSort,NEARLY_SORTED_10,BST,20,712,28165900.000,38742500.000,29090715.000,28543250.000,2290726.524,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26282800.000,38736200.000,27244090.000,26568800.000,2712783.883,1.067781
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6738100.000,7250800.000,7040190.000,7033800.000,134108.283,4.132092
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14385700.000,16832500.000,15670590.000,15716000.000,619266.859,1.856389
TreeSort,NEARLY_SORTED_10,BST,20,732,22864900.000,29481100.000,23941840.000,23751650.000,1393119.740,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26200400.000,29852500.000,26973580.000,26703750.000,871430.091,0.887603
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6802300.000,7320300.000,7018910.000,6980050.000,143776.218,3.411048
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,13754500.000,16700800.000,15390975.000,15423700.000,810141.841,1.555577
TreeSort,NEARLY_SORTED_10,BST,20,949,23876000.000,33811700.000,25356890.000,25010250.000,2055627.939,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26713300.000,39619600.000,28182465.000,27492250.000,2714984.874,0.899740
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6939700.000,7340800.000,7161210.000,7159350.000,103826.205,3.540867
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14452900.000,17304300.000,15620445.000,15600600.000,683890.550,1.623314
TreeSort,NEARLY_SORTED_10,BST,20,1352,24624900.000,31608600.000,25740815.000,25455050.000,1489374.119,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26441300.000,29498500.000,27256650.000,26990300.000,821130.841,0.944387
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6976300.000,7359500.000,7163880.000,7141150.000,109878.261,3.593139
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14403900.000,15933700.000,15264725.000,15253550.000,471299.660,1.686294
TreeSort,NEARLY_SORTED_10,BST,20,1602,28989000.000,39022400.000,29898760.000,29336700.000,2168554.628,1.000000
TreeSort,NEARLY_SORTED_10,RBBST,20,28,26171400.000,38035100.000,27294370.000,26717900.000,2555798.913,1.095419
QuickSort,NEARLY_SORTED_10,QuickSort,20,0,6738300.000,7273400.000,6920685.000,6875600.000,132859.579,4.320202
QuickSort,NEARLY_SORTED_10,QuickSortBoxed,20,0,14446000.000,17807000.000,15794260.000,15840950.000,801477.127,1.893014
TreeSort,NEARLY_SORTED_1,BST,20,4013,150773900.000,161641900.000,154806310.000,154786700.000,2891467.633,1.000000
TreeSort,NEARLY_SORTED_1,RBBST,20,29,18997600.000,22889900.000,20154945.000,20069700.000,807599.715,7.680810
QuickSort,NEARLY_SORTED_1,QuickSort,20,0,5530300.000,6239100.000,5752065.000,5743000.000,174995.405,26.913171
